                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6495,                 2.5842,                 1.1813,                0.57063,                0.52044,                  0.441,                0.26682,                 1.7117,                 4.0988,                 1.2914,               0.000274,               0.000274,               0.000274
                     35,                 1.7962,                 2.9079,                 1.3421,                0.57063,                0.52044,                  0.441,                0.26682,                 1.7117,                 4.0988,                 1.2914,               0.000274,               0.000274,               0.000274
                     36,                  1.803,                 3.1606,                 1.2994,                0.70348,                0.49557,                 0.4862,                0.29908,                 1.6244,                 3.3296,                 1.2501,               0.000252,               0.000252,               0.000252
                     37,                 1.5077,                 3.4907,                 1.2373,                0.70348,                0.49557,                 0.4862,                0.29908,                 1.6244,                 3.3296,                 1.2501,                0.00023,                0.00023,                0.00023
                     38,                  1.599,                 3.1952,                 1.3037,                0.70348,                0.49557,                 0.4862,                0.29908,                 1.6244,                 3.3296,                 1.2501,               0.000208,               0.000208,               0.000208
                     39,                 1.5709,                 3.1463,                 1.3234,                0.70348,                0.49557,                 0.4862,                0.29908,                 1.6244,                 3.3296,                 1.2501,               0.000186,               0.000186,               0.000186
                     40,                 1.5782,                 3.0701,                 1.3145,                0.65539,                0.56872,                0.54376,                0.29571,                 1.6749,                 3.1562,                  1.293,               0.000164,               0.000164,               0.000164
                     41,                 1.5547,                 3.0594,                 1.1894,                0.65539,                0.56872,                0.54376,                0.29571,                 1.6749,                 3.1562,                  1.293,               0.000142,               0.000142,               0.000142
                     42,                 1.9931,                  3.325,                 1.3242,                0.65539,                0.56872,                0.54376,                0.29571,                 1.6749,                 3.1562,                  1.293,                0.00012,                0.00012,                0.00012
                     43,                 1.3744,                 2.9665,                 1.1642,                0.65539,                0.56872,                0.54376,                0.29571,                 1.6749,                 3.1562,                  1.293,                9.8e-05,                9.8e-05,                9.8e-05
                     44,                 1.6409,                 3.1997,                 1.2937,                0.63007,                0.56291,                0.55178,                0.27865,                 1.6708,                  2.905,                  1.326,                7.6e-05,                7.6e-05,                7.6e-05
                     45,                 1.7442,                 3.1577,                 1.2192,                0.63007,                0.56291,                0.55178,                0.27865,                 1.6708,                  2.905,                  1.326,                5.4e-05,                5.4e-05,                5.4e-05
